_row_id,event_type,judet,uat,data,lat,long,fond_cinegetic,numar_raport,nr_identificare,echipa_interventie,sex_urs,descriere_eveniment,metoda_interventie,adaugat_de,coord_status
52_alungare,alungare,,BRUSTUROASA,,,,COTUMBA 3,11473,,Jandarmerie - UM 0836 BACAU; UAT Brusturoasa- VICEPRIMAR ; Personal tehnic gestionar  ; Medic veterinar.,,"Din relatarile persoanelor care erau la fata locului la momentul intrunirii echipei de  interventie, a rezultat ca un urs adult a atacat o bovina, in spatele imobilului cu nr. 154 din satul Hanganesti, comuna Brusturoasa.  Dupa atac, ursul a plecat , nu a fost necesara alungarea acestuia de catre echipa de interventie.",Alungat,Anca Macor,
53_alungare,alungare,,STOENEŞTI,,45.239877,25.186166,STOENESTI 20,1501288 din 12.10.2021,,Jandarmerie,,Ursul nu a fost găsit. În gospodăria persoanei păgubote un perete al adăpostului pentru animale era spart și lipsea o ovină.,Alungat,Marius Dumitru,
54_relocare,relocare,Brașov,BRAŞOV,2021-10-13,45.643218,25.576793,,109981,BV005-BV008,"Reprezentant Primăria Municipului Brașov, Medic veterinar și reprezentant IJJ Brașov",Femela cu pui,"Conducătorul echipei de intervenție a decis în conformitate cu prevederile art.4, alin.1, lit .b) din OUG 81/2021, capturarea, tranchilizarea și relocarea femelei de urs cu 3 pui în cadrul Sanctuarului de urși Libearty Zărnești",Relocat,Viorel Marean,
55_alungare,alungare,Brașov,BRAŞOV,,45.643182,25.576930,TIMIS 18,111091/15.10.2021,,"Primar mun. Brasov, medic veterinar, reprezentant Garda Forestiera Brasov",Femela cu pui,"In urma apelurilor repetate la 112, echipa de interventie a monitorizat zona, iar la ora 23,05pm, in zona Warthe,conducatorul echipei de interventie a decis in conf.cu art 4, alin.1, lit.a, alungarea prin diverse mijloace acustice si olfactive a unui exemplar de urs femela cu pui,",Alungat,Mirela Moisa,
56_alungare,alungare,Prahova,COMARNIC,,,,COMARNIC 24,12321/14.10.2021,,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",Mascul,"Ursul a ucis doua ovine, a fost alungat folosindu-se metode acustice si luminoase",Alungat,Crina Popa,stereo70
57_alungare,alungare,Prahova,COMARNIC,,,,COMARNIC 24,12422/15.10.2021,,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",Mascul,Alungare prin metode sonore si cu fascicule luminoase,Alungat,Crina Popa,stereo70
58_alungare,alungare,Prahova,COMARNIC,2021-10-14,,,,,,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",Mascul,"Alungare prin metode sonore si cu fascicule luminoase, dupa care a devenit agresiv, punand in pericol membrii echipei si a fost impuscat",Împușcare,Crina Popa,
58_impuscare,impuscare,Prahova,COMARNIC,,,,COMARNIC 24,12423/15.10.2021,,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",Mascul,"Alungare prin metode sonore si cu fascicule luminoase, dupa care a devenit agresiv, punand in pericol membrii echipei si a fost impuscat",Împușcare,Crina Popa,stereo70
59_alungare,alungare,Brașov,ZĂRNEŞTI,,45.302091,26.864385,ZARNESTI 57,,,"IJJ Buzau, reprezentant UAT Zarnesti, reprezentant AV Stejarul Bucure;ti",,"In urma apelului de urgență echipa s-a deplasat la fața loclului, dar ursul nu a mai fost găsit.",Alungat,Mihaela Ifrim,
60_alungare,alungare,,CRIZBAV,,45.813056,25.468714,CRIZBAV 13,4621/15.10.2021,,"Reprezentant Primaria Crizbav, reprezentant Inspectoratul Judetean Jandarmi, medic veterinar, reprezentant gestionar, apelant",Mascul,"In jurul orei 07,40 am, a fost observat un urs pe cursul râului care traverseză localitatea Crizbav. Echipa a intervenit și a alungat ursul în zona pădurii Sideriaș prin cimitirul localității.",Alungat,Mirela Moisa,
61_alungare,alungare,Prahova,COMARNIC,,,,COMARNIC 24,12565/20.10.2021,,"reprez. UM 0756,  paznici vanat. AVPS Campina",Mascul,"Urs aflat in gradina particulara, alungat prin metode sonore",Alungat,Crina Popa,stereo70
62_alungare,alungare,,CRIZBAV,,45.815084,25.465660,CRIZBAV 13,4684/20.10.2021,,"Reprezentant Primaria Crizbav, reprezentant Insp.Jud.de Jandarmi BV, medic veterinar, reprezentant gestionar(AVP Dopiresco),apelant",Mascul,"În jurul orei 06,22 a fost observat un urs pe raza localității Crizbav, deplasându-se pe cursul râului din centrul localității; echipa de intervenție a alungat animalul prin cimitirul localității spre pădure (Sideriaș).",Alungat,Mirela Moisa,
63_alungare,alungare,Argeș,BUGHEA DE SUS,,45.295248,25.031837,RAUL TARGULUI 18,1501366 din 18.10.2021,,jandarmerie,Mascul,Echipajul de jandarmi imreuna cu persoana păgubită au identificat urme de urs și gardul rupt. Persoana păgubită a observat ca lipsește un porc. Ursul nu a fost găsit.,Alungat,Marius Dumitru,
64_alungare,alungare,Prahova,COMARNIC,,,,COMARNIC 24,12622/21.10.2021,,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",Mascul,Alungare prin metode sonore si cu fascicule luminoase,Alungat,Crina Popa,stereo70
